,clean_outcome,date,division,gender+division,global_id,judge1boxer,judge1opp,judge2boxer,judge2opp,judge3boxer,judge3opp,meta,name,opp_draw,opp_last6,opp_loss,opp_weight,opp_win,opposition,rating,rounds1,rounds2,sex,weight,Draw,Loss KO,Loss Other,Win KO,Win Other,fight_count,judge1avg,judge2avg,judge3avg,judge1againstavg,judge2againstavg,judge3againstavg,avgpts,avgptsagainst,KO ratio,KnockedOut ratio,opp_fight_count,opp_lossKO,opp_lossOther,opp_winKO,opp_winOther,opp_avgpts,opp_avgptsagainst,opp_KO ratio,opp_KnockedOut ratio,opp_meta,weightratio,age,height,rating1,rating2,bmi,opp_age,opp_height,opp_bmi,age_ratio,height_ratio,bmi_ratio,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against,oppjabaccuracy,opppoweraccuracy,opptotalaccuracy,oppavgjabslanded,oppavgpowerlanded,oppavgtotallanded,opppercpowerlandedagainst,opppercejabslandedagainst,oppperctotallandedagainst,oppavgjabsagainst,oppavgpowerlandedagainst,oppavgtotalagainst,last6
0,win,2016-01-23,cruiser,male cruiser,745266,0,0,0,0,0,0,,Roberto Salas,0.0,0.0,0.0,214.0,0.0,Cody Sons,0 ,1,4,male,201,0.0,0.0,0.0,0.8,0.2,5,8.0,8.0,7.8,7.2,7.2,7.4,18.6,16.866666666666667,0.16,0.0,,,,,,,,,,,0.9392523364485982,30,188,0.75,0.78,1.0691489361702127,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,30.0
5,win,2017-09-16,heavy,male heavy,810496,0,0,0,0,0,0,,James Jackson,0.0,-10.0,2.0,198.0,0.0,Billy Martin,0 ,2,4,male,225,0.2,0.0,0.0,0.4,0.4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,1.1363636363636365,22,175,0.69,0.69,1.2857142857142858,29.0,175.0,1.1314285714285715,0.7586206896551724,1.0,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,win,2018-09-21,bantam,female bantam,846774,0,0,0,0,0,0,,Alex Love,0.0,0.0,0.0,,0.0,Jennifer Michelle Woods,0 ,1,4,female,0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,,,,,,,,,,,,30,155,0.52,0.53,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,10.0
13,draw,2016-02-06,fly,male fly,744816,38,38,37,39,38,38,,Juan Centeno,0.0,0.0,0.0,108.75,0.0,Francisco Velasquez,0 ,4,4,male,112,0.125,0.25,0.125,0.125,0.375,8,25.875,26.625,26.25,26.125,25.375,25.75,61.25,60.083333333333336,0.015625,0.03125,,,,,,,,,,,1.0298850574712644,24,175,0.52,0.53,0.64,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,15.0
21,win,2019-06-15,super middle,male super middle,883690,0,0,0,0,0,0,,Jordan Weeks,1.0,-30.0,14.0,163.5,3.0,Mark Anderson,0 ,6,6,male,166,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.045454545454545456,49.95454545454545,54.25757575757576,0.004132231404958678,0.004132231404958678,,1.0152905198776758,27,175,0.49,0.52,0.9485714285714286,39.0,175.0,0.9342857142857143,0.6923076923076923,1.0,1.0152905198776758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,win,2016-10-15,middle,male middle,774137,0,0,0,0,0,0,,Andrew Whitfield,0.0,0.0,0.0,,0.0,CJ Mount,0 ,1,4,male,170,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,,,,,,,,,,,,29,175,0.42,0.45,0.9714285714285714,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,10.0
26,win,2018-06-02,super light,male super light,838706,0,0,0,0,0,0,,Roddricus Livsey,0.0,-10.0,2.0,140.5,0.0,William Barber,0 ,1,4,male,135,0.0,0.0,0.0,0.75,0.25,4,9.75,9.75,9.75,9.25,9.25,9.25,22.75,21.583333333333332,0.1875,0.0,,,,,,,,,,,0.9608540925266904,36,175,0.4,0.42,0.7714285714285715,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,20.0
30,win,2018-12-01,heavy,male heavy,869683,0,0,0,0,0,0,,Vern Earwood,0.0,0.0,0.0,376.0,0.0,Eddie Sisneros,0 ,1,4,male,262,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6968085106382979,29,175,0.45,0.46,1.497142857142857,29.0,175.0,2.1485714285714286,1.0,1.0,0.6968085106382979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,win,2019-02-16,welter,male welter,868037,0,0,0,0,0,0,,Damon Towns,0.0,-5.0,1.0,147.0,0.0,Karl Garcia Butler,0 ,1,4,male,147,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1.0,28,170,0.38,0.35,0.8647058823529412,35.0,175.0,0.84,0.8,0.9714285714285714,1.0294117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
35,win,2018-02-10,light,female light,823644,0,0,0,0,0,0,,Mariah Prussia,0.0,-10.0,2.0,134.0,0.0,Micaela Fox,0 ,1,4,female,137,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0223880597014925,29,175,0.52,0.53,0.7828571428571428,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,10.0
