,stance1,stance.y,division,sex,outcome,total,win_rate
0,orthodox,orthodox,bantam,female,17,328,5.182926829268292
1,orthodox,orthodox,bantam,male,27,328,8.231707317073171
2,orthodox,southpaw,bantam,female,2,328,0.6097560975609756
3,orthodox,southpaw,bantam,male,8,328,2.4390243902439024
4,orthodox,unknown,bantam,female,11,328,3.353658536585366
5,orthodox,unknown,bantam,male,45,328,13.719512195121952
6,southpaw,orthodox,bantam,male,1,328,0.3048780487804878
7,southpaw,unknown,bantam,male,1,328,0.3048780487804878
11,orthodox,orthodox,cruiser,male,97,1499,6.470980653769179
12,orthodox,southpaw,cruiser,male,10,1499,0.66711140760507
13,orthodox,unknown,cruiser,male,133,1499,8.872581721147432
14,southpaw,orthodox,cruiser,male,27,1499,1.801200800533689
15,southpaw,southpaw,cruiser,male,9,1499,0.600400266844563
16,southpaw,unknown,cruiser,male,35,1499,2.334889926617745
20,orthodox,orthodox,feather,female,3,789,0.38022813688212925
21,orthodox,orthodox,feather,male,21,789,2.6615969581749046
22,orthodox,southpaw,feather,male,2,789,0.25348542458808615
23,orthodox,unknown,feather,female,7,789,0.8871989860583016
24,orthodox,unknown,feather,male,30,789,3.802281368821293
25,southpaw,orthodox,feather,female,5,789,0.6337135614702154
26,southpaw,orthodox,feather,male,38,789,4.816223067173637
27,southpaw,southpaw,feather,male,6,789,0.7604562737642585
28,southpaw,unknown,feather,female,5,789,0.6337135614702154
29,southpaw,unknown,feather,male,30,789,3.802281368821293
36,orthodox,orthodox,fly,male,3,123,2.4390243902439024
37,orthodox,southpaw,fly,male,1,123,0.8130081300813009
38,orthodox,unknown,fly,female,8,123,6.504065040650407
39,orthodox,unknown,fly,male,10,123,8.130081300813007
42,orthodox,orthodox,heavy,female,11,1972,0.5578093306288032
43,orthodox,orthodox,heavy,male,152,1972,7.707910750507099
44,orthodox,southpaw,heavy,female,1,1972,0.05070993914807302
45,orthodox,southpaw,heavy,male,21,1972,1.0649087221095335
46,orthodox,unknown,heavy,female,11,1972,0.5578093306288032
47,orthodox,unknown,heavy,male,210,1972,10.649087221095336
48,southpaw,orthodox,heavy,male,29,1972,1.4705882352941175
49,southpaw,southpaw,heavy,male,7,1972,0.35496957403651114
50,southpaw,unknown,heavy,male,60,1972,3.0425963488843815
57,orthodox,orthodox,light,female,1,1248,0.08012820512820512
58,orthodox,orthodox,light,male,110,1248,8.814102564102564
59,orthodox,southpaw,light,male,25,1248,2.003205128205128
60,orthodox,unknown,light,female,8,1248,0.641025641025641
61,orthodox,unknown,light,male,137,1248,10.977564102564102
62,southpaw,orthodox,light,male,17,1248,1.3621794871794872
63,southpaw,southpaw,light,male,8,1248,0.641025641025641
64,southpaw,unknown,light,male,44,1248,3.5256410256410255
71,orthodox,orthodox,light heavy,male,61,772,7.901554404145078
72,orthodox,southpaw,light heavy,male,5,772,0.6476683937823834
73,orthodox,unknown,light heavy,male,100,772,12.953367875647666
74,southpaw,orthodox,light heavy,male,41,772,5.310880829015544
75,southpaw,southpaw,light heavy,male,7,772,0.9067357512953367
76,southpaw,unknown,light heavy,male,42,772,5.4404145077720205
80,orthodox,orthodox,middle,female,3,1811,0.16565433462175594
81,orthodox,orthodox,middle,male,205,1811,11.319712865819989
82,orthodox,southpaw,middle,female,3,1811,0.16565433462175594
83,orthodox,southpaw,middle,male,32,1811,1.7669795692987302
84,orthodox,unknown,middle,female,11,1811,0.6073992269464384
85,orthodox,unknown,middle,male,182,1811,10.049696300386527
86,southpaw,orthodox,middle,male,10,1811,0.5521811154058531
87,southpaw,southpaw,middle,male,4,1811,0.22087244616234128
88,southpaw,unknown,middle,female,1,1811,0.05521811154058532
89,southpaw,unknown,middle,male,25,1811,1.3804527885146327
94,orthodox,orthodox,super bantam,male,31,454,6.828193832599119
95,orthodox,southpaw,super bantam,male,9,454,1.9823788546255507
96,orthodox,unknown,super bantam,male,48,454,10.572687224669604
97,southpaw,orthodox,super bantam,male,13,454,2.8634361233480177
98,southpaw,southpaw,super bantam,male,7,454,1.5418502202643172
99,southpaw,unknown,super bantam,male,24,454,5.286343612334802
106,orthodox,orthodox,super feather,female,2,1037,0.19286403085824494
107,orthodox,orthodox,super feather,male,64,1037,6.171648987463838
108,orthodox,southpaw,super feather,female,1,1037,0.09643201542912247
109,orthodox,southpaw,super feather,male,8,1037,0.7714561234329798
110,orthodox,unknown,super feather,female,10,1037,0.9643201542912248
111,orthodox,unknown,super feather,male,89,1037,8.5824493731919
112,southpaw,orthodox,super feather,male,26,1037,2.507232401157184
113,southpaw,southpaw,super feather,male,4,1037,0.3857280617164899
114,southpaw,unknown,super feather,male,37,1037,3.567984570877531
121,orthodox,orthodox,super fly,female,1,135,0.7407407407407408
122,orthodox,orthodox,super fly,male,22,135,16.296296296296298
123,orthodox,southpaw,super fly,female,1,135,0.7407407407407408
124,orthodox,unknown,super fly,female,2,135,1.4814814814814816
125,orthodox,unknown,super fly,male,14,135,10.37037037037037
128,orthodox,orthodox,super light,female,15,1604,0.9351620947630923
129,orthodox,orthodox,super light,male,135,1604,8.41645885286783
130,orthodox,southpaw,super light,female,1,1604,0.062344139650872814
131,orthodox,southpaw,super light,male,23,1604,1.4339152119700749
132,orthodox,unknown,super light,female,6,1604,0.3740648379052369
133,orthodox,unknown,super light,male,143,1604,8.915211970074813
134,southpaw,orthodox,super light,male,30,1604,1.8703241895261846
135,southpaw,southpaw,super light,male,8,1604,0.4987531172069825
136,southpaw,unknown,super light,male,43,1604,2.680798004987531
143,orthodox,orthodox,super middle,female,5,1225,0.40816326530612246
144,orthodox,orthodox,super middle,male,82,1225,6.693877551020408
145,orthodox,southpaw,super middle,female,1,1225,0.0816326530612245
146,orthodox,southpaw,super middle,male,28,1225,2.2857142857142856
147,orthodox,unknown,super middle,female,3,1225,0.24489795918367346
148,orthodox,unknown,super middle,male,113,1225,9.224489795918366
149,southpaw,orthodox,super middle,female,1,1225,0.0816326530612245
150,southpaw,orthodox,super middle,male,22,1225,1.7959183673469388
151,southpaw,southpaw,super middle,male,8,1225,0.653061224489796
152,southpaw,unknown,super middle,female,4,1225,0.326530612244898
153,southpaw,unknown,super middle,male,29,1225,2.36734693877551
159,orthodox,orthodox,super welter,female,3,1337,0.22438294689603588
160,orthodox,orthodox,super welter,male,128,1337,9.573672400897532
161,orthodox,southpaw,super welter,male,36,1337,2.692595362752431
162,orthodox,unknown,super welter,female,1,1337,0.07479431563201197
163,orthodox,unknown,super welter,male,193,1337,14.43530291697831
164,southpaw,orthodox,super welter,male,18,1337,1.3462976813762155
165,southpaw,southpaw,super welter,female,1,1337,0.07479431563201197
