,age_range,opp_age_range,division,sex,wins,loss,draw,other,total_fights,win_rate
0,15-20,25-30,cruiser,male,6,7,2,1,16,37.5
1,15-20,25-30,super feather,male,15,13,2,1,31,48.38709677419355
2,20-25,20-25,feather,male,9,35,2,1,47,19.148936170212767
3,20-25,20-25,light,male,30,28,1,2,61,49.18032786885246
4,20-25,20-25,super bantam,male,7,21,1,2,31,22.58064516129032
5,20-25,20-25,welter,male,31,61,2,1,95,32.631578947368425
6,20-25,25-30,cruiser,male,23,27,1,1,52,44.230769230769226
7,20-25,25-30,feather,male,28,37,7,1,73,38.35616438356164
8,20-25,25-30,heavy,male,45,51,2,1,99,45.45454545454545
9,20-25,25-30,super bantam,male,21,32,3,1,57,36.84210526315789
10,20-25,25-30,super welter,male,45,50,4,2,101,44.554455445544555
11,20-25,25-30,welter,male,57,80,2,3,142,40.140845070422536
12,20-25,30-35,bantam,male,12,10,1,1,24,50.0
13,20-25,30-35,cruiser,male,17,9,1,2,29,58.620689655172406
14,20-25,30-35,feather,male,26,23,1,1,51,50.98039215686274
15,20-25,30-35,heavy,male,41,46,6,1,94,43.61702127659575
16,20-25,30-35,light,male,31,27,2,1,61,50.81967213114754
17,20-25,30-35,super feather,male,29,28,2,4,63,46.03174603174603
18,20-25,30-35,super light,male,40,36,1,1,78,51.28205128205128
19,20-25,30-35,welter,male,53,64,6,4,127,41.732283464566926
20,25-30,15-20,cruiser,male,1,13,2,1,17,5.88235294117647
21,25-30,15-20,super light,male,5,5,1,3,14,35.714285714285715
22,25-30,15-20,super middle,male,7,10,2,1,20,35.0
23,25-30,20-25,feather,male,22,25,2,1,50,44.0
24,25-30,20-25,heavy,male,33,74,8,2,117,28.205128205128204
25,25-30,20-25,light,male,26,45,3,3,77,33.76623376623377
26,25-30,20-25,light heavy,male,24,19,5,5,53,45.28301886792453
27,25-30,20-25,middle,male,57,78,16,1,152,37.5
28,25-30,20-25,super feather,male,17,28,5,1,51,33.33333333333333
29,25-30,20-25,super light,male,32,52,6,3,93,34.40860215053764
30,25-30,20-25,welter,male,28,65,6,3,102,27.450980392156865
31,25-30,25-30,cruiser,male,60,104,2,11,177,33.89830508474576
32,25-30,25-30,feather,male,35,28,6,2,71,49.29577464788733
