,Unnamed: 0,name,wins,losses,draws,average_weight,sex,division,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against
0,0,Nikita Ababiy,7.0,0.0,0.0,160.75,male,middle,14.29,40.91,34.48,1.0,9.0,10.0,10.34,12.5,10.81,1.0,3.0,4.0
1,1,Joey Abell,35.0,10.0,0.0,244.69,male,heavy,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2,2,Berlin Abreu,14.0,3.0,0.0,,male,welter,9.72,24.7,18.26,24.0,81.0,105.0,25.74,12.81,17.88,47.0,61.0,108.0
3,3,Herbert Acevedo,16.0,2.0,1.0,138.97,male,super light,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
4,4,Richard Acevedo,5.0,0.0,1.0,152.79,male,super welter,8.62,40.0,32.51,2.5,37.0,39.5,26.73,16.67,23.78,7.0,27.0,34.0
5,5,Carlos Adames,18.0,0.0,0.0,149.82,male,super welter,20.63,39.85,34.34,24.5,117.75,142.25,28.85,10.43,21.74,20.0,88.0,108.0
6,6,Brandon Adams,21.0,3.0,0.0,,male,middle,20.88,47.26,39.92,17.0,99.86,116.86,32.1,12.93,24.39,13.43,49.57,63.0
7,7,Brandon Adams,4.0,9.0,1.0,149.18,male,super welter,20.88,47.26,39.92,17.0,99.86,116.86,32.1,12.93,24.39,13.43,49.57,63.0
8,8,Joseph Agbeko,36.0,5.0,0.0,,male,bantam,32.32,40.32,38.31,70.67,262.33,333.0,34.82,11.07,25.21,42.67,197.33,240.0
9,9,Efe Ajagba,11.0,0.0,0.0,237.23,male,heavy,21.46,28.01,24.64,32.25,39.5,71.75,31.58,12.0,25.11,6.75,36.0,42.75
10,10,Artur Akavov,20.0,3.0,0.0,159.97,male,middle,25.75,33.64,29.56,60.0,73.0,133.0,20.22,16.86,18.24,44.0,37.0,81.0
11,11,Murodjon Akhmadaliev,7.0,0.0,0.0,124.89,male,super bantam,19.88,38.69,31.72,25.5,84.25,109.75,21.85,11.71,17.87,13.5,39.0,52.5
12,12,Ali Akhmedov,16.0,0.0,0.0,,male,super middle,8.51,43.75,30.71,4.0,35.0,39.0,17.31,18.42,17.78,7.0,9.0,16.0
13,13,Immanuwel Aleem,18.0,1.0,2.0,162.21,male,middle,18.77,52.09,38.13,26.75,103.0,129.75,29.47,14.29,25.07,15.5,78.25,93.75
14,14,Devon Alexander,27.0,6.0,1.0,143.77,male,welter,15.01,36.83,26.64,43.67,122.47,166.13,28.65,18.0,24.66,34.27,90.87,125.13
15,15,Vaughn Alexander,15.0,3.0,0.0,160.15,male,super middle,15.38,45.3,39.1,6.0,67.5,73.5,33.33,12.84,21.87,21.5,44.0,65.5
16,16,Chris Algieri,24.0,3.0,0.0,,male,super light,14.33,43.76,28.79,58.0,171.1,229.1,31.8,15.07,24.92,35.2,106.4,141.6
17,17,Sadam Ali,27.0,3.0,0.0,,male,welter,13.87,36.0,25.44,27.7,78.7,106.4,27.93,16.74,23.07,28.4,61.7,90.1
18,18,Damon Allen,16.0,1.0,1.0,136.86,male,super light,10.13,45.91,32.55,14.0,106.5,120.5,32.16,20.74,28.82,22.5,84.5,107.0
19,19,Mike Alvarado,40.0,5.0,0.0,,male,super light,17.82,37.87,28.53,45.7,111.4,157.1,37.2,21.14,30.62,38.2,96.9,135.1
20,20,Demetrius Andrade,28.0,0.0,0.0,,male,middle,15.36,43.68,29.77,33.6,99.0,132.6,26.08,12.58,21.1,14.53,51.6,66.13
21,21,Rolanda Andrews,9.0,9.0,1.0,,female,feather,41.18,39.22,39.71,7.0,20.0,27.0,21.13,0.0,15.46,0.0,15.0,15.0
22,22,Alfredo Angulo,26.0,7.0,0.0,156.52,male,super middle,15.14,41.12,29.6,27.05,92.1,119.14,37.85,19.77,29.24,31.67,66.67,98.33
23,23,Kingdamon Antoine,9.0,0.0,0.0,130.47,male,feather,11.46,15.13,13.08,22.0,23.0,45.0,27.94,18.23,22.12,37.0,38.0,75.0
24,24,Efetobor Apochi,9.0,0.0,0.0,198.75,male,cruiser,20.0,51.5,41.91,17.5,103.0,120.5,44.2,17.24,30.48,20.0,49.5,69.5
25,25,Jose Arambula,13.0,1.0,1.0,136.43,male,welter,24.32,36.0,31.03,27.0,54.0,81.0,34.95,5.08,27.76,3.0,65.0,68.0
26,26,Jaime Arboleda,15.0,1.0,0.0,131.22,male,super feather,9.09,39.39,31.82,0.5,6.5,7.0,21.05,15.0,17.95,1.5,2.0,3.5
27,27,Joahnys Argilagos,3.0,0.0,0.0,116.33,male,super fly,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
