,miles,location,name,sex,w,l,d,division,from,to,players_links,id
0,0,USA,Roberto Salas,male,5,0,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/745266,745266
1,0,USA,James Jackson,male,4,0,1,heavy,2017,2019,https://boxrec.com/en/proboxer/810496,810496
2,0,USA,Alex Love,female,3,0,0,bantam,2018,2019,https://boxrec.com/en/proboxer/846774,846774
3,0,USA,Juan Centeno,male,4,3,1,fly,2016,2019,https://boxrec.com/en/proboxer/744816,744816
4,0,USA,Jordan Weeks,male,2,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/883690,883690
5,0,USA,Andrew Whitfield,male,2,1,0,middle,2016,2019,https://boxrec.com/en/proboxer/774137,774137
6,0,USA,Roddricus Livsey,male,4,0,0,super light,2018,2019,https://boxrec.com/en/proboxer/838706,838706
7,0,USA,Vern Earwood,male,3,0,0,heavy,2018,2019,https://boxrec.com/en/proboxer/869683,869683
8,0,USA,Damon Towns,male,2,0,0,welter,2019,2019,https://boxrec.com/en/proboxer/868037,868037
9,0,USA,Mariah Prussia,female,2,0,0,light,2018,2019,https://boxrec.com/en/proboxer/823644,823644
10,0,USA,Shawn Gates,male,1,0,0,heavy,2019,2019,https://boxrec.com/en/proboxer/866545,866545
11,0,USA,Shane Fitcher,male,1,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/873076,873076
12,0,USA,John Hunt,male,1,1,1,super welter,2018,2019,https://boxrec.com/en/proboxer/856237,856237
13,0,USA,Lupe Jimenez,male,1,3,1,super light,2016,2019,https://boxrec.com/en/proboxer/771145,771145
14,0,USA,Terence Reed,male,2,1,0,welter,2018,2019,https://boxrec.com/en/proboxer/842101,842101
15,0,USA,Matt Gavers,male,1,4,1,super light,2018,2019,https://boxrec.com/en/proboxer/844760,844760
16,0,USA,Josh Huber,male,1,0,0,light,2019,2019,https://boxrec.com/en/proboxer/867643,867643
17,0,USA,Cory Galloway,male,1,0,0,light,2019,2019,https://boxrec.com/en/proboxer/867861,867861
18,0,USA,Steele McCall,male,1,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/873077,873077
19,0,USA,David Alfaro,male,1,3,0,super bantam,2017,2019,https://boxrec.com/en/proboxer/792080,792080
20,0,USA,Ryan Edwards,male,1,1,0,heavy,2018,2019,https://boxrec.com/en/proboxer/842033,842033
21,0,USA,Edward Torres,male,1,2,0,welter,2018,2019,https://boxrec.com/en/proboxer/829316,829316
22,0,USA,Ashley Deen,female,1,0,0,feather,2018,2018,https://boxrec.com/en/proboxer/869872,869872
23,0,USA,Ernest Knight,male,0,4,0,welter,2017,2019,https://boxrec.com/en/proboxer/804932,804932
24,0,USA,Jarvis Ervin,male,0,5,0,cruiser,2018,2019,https://boxrec.com/en/proboxer/820035,820035
25,0,USA,Allen Campoy Ruiz,male,0,2,0,heavy,2018,2019,https://boxrec.com/en/proboxer/832745,832745
26,0,USA,Malik Witherspoon,male,0,2,0,super welter,2018,2019,https://boxrec.com/en/proboxer/847617,847617
27,0,USA,Harold Jackson,male,0,2,0,welter,2018,2018,https://boxrec.com/en/proboxer/847749,847749
28,0,USA,Adonis Grant,male,0,1,0,middle,2018,2018,https://boxrec.com/en/proboxer/860483,860483
29,0,USA,Keegan Blanco,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/867862,867862
30,0,USA,Scott Ingram,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/867863,867863
31,0,USA,Heather Denny,female,0,1,0,feather,2018,2018,https://boxrec.com/en/proboxer/869873,869873
32,0,USA,Eddie Sisneros,male,0,1,0,heavy,2018,2018,https://boxrec.com/en/proboxer/869875,869875
33,0,USA,Sammy Katz,male,0,1,0,super feather,2019,2019,https://boxrec.com/en/proboxer/873074,873074
34,0,USA,Damion Gaskin,male,0,2,0,welter,2019,2019,https://boxrec.com/en/proboxer/873747,873747
35,0,USA,Alex Rivera,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/879108,879108
36,5,"USA, Virginia, Norfolk",Frankie Filippone,male,26,8,1,light heavy,2008,2018,https://boxrec.com/en/proboxer/444276,444276
37,5,"USA, Virginia, Norfolk",Nicholas Sullivan,male,2,0,0,,2019,2019,https://boxrec.com/en/proboxer/860803,860803
38,8,"USA, Virginia, Newport News",Jerry Forrest,male,26,3,0,heavy,2012,2019,https://boxrec.com/en/proboxer/622344,622344
39,8,"USA, Virginia, Newport News",Jeremiah Wiggins,male,10,7,1,super welter,2009,2018,https://boxrec.com/en/proboxer/481550,481550
40,8,"USA, Virginia, Newport News",Anthony Overby,male,0,11,0,super welter,2017,2019,https://boxrec.com/en/proboxer/786989,786989
41,10,"USA, Virginia, Hampton",Leon Gittens,male,2,0,0,light heavy,2018,2019,https://boxrec.com/en/proboxer/845595,845595
42,13,"USA, Virginia, Chesapeake",Reggie Barnett Jr,male,6,2,0,super feather,2015,2019,https://boxrec.com/en/proboxer/735049,735049
43,13,"USA, Virginia, Chesapeake",Keith Robertson,male,7,0,1,cruiser,2013,2019,https://boxrec.com/en/proboxer/640478,640478
44,13,"USA, Virginia, Chesapeake",Michaele Nogue,female,1,1,0,super light,2019,2019,https://boxrec.com/en/proboxer/857680,857680
45,19,"USA, Virginia, Virginia Beach",Montez Brown,male,8,1,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/760809,760809
46,19,"USA, Virginia, Virginia Beach",Jason Wahr,male,4,15,3,middle,2007,2018,https://boxrec.com/en/proboxer/383790,383790
47,19,"USA, Virginia, Virginia Beach",Ryan Parker,male,0,1,0,heavy,2019,2019,https://boxrec.com/en/proboxer/888369,888369
48,40,"USA, North Carolina, Hobbsville",Roger Belch,male,13,1,0,light,2015,2019,https://boxrec.com/en/proboxer/728226,728226
49,75,"USA, Virginia, Richmond",Immanuwel Aleem,male,18,1,2,middle,2012,2019,https://boxrec.com/en/proboxer/618233,618233
50,75,"USA, Virginia, Richmond",Nigel Fennell,male,5,0,0,welter,2018,2019,https://boxrec.com/en/proboxer/847479,847479
51,75,"USA, Virginia, Richmond",Rafiq Muhammad,male,4,0,0,super welter,2016,2019,https://boxrec.com/en/proboxer/748802,748802
52,75,"USA, Virginia, Richmond",Gabriel Braxton,male,2,28,0,super light,2013,2019,https://boxrec.com/en/proboxer/671340,671340
53,75,"USA, Virginia, Richmond",Tyshae Ferguson,male,0,10,0,light,2013,2019,https://boxrec.com/en/proboxer/659413,659413
54,102,"USA, Maryland, Lusby",Nathaniel Lee Davis,male,1,1,0,super feather,2019,2019,https://boxrec.com/en/proboxer/871457,871457
55,103,"USA, North Carolina, Rocky Mount",Henry Mercer,male,2,19,0,light heavy,2013,2019,https://boxrec.com/en/proboxer/671190,671190
56,103,"USA, North Carolina, Rocky Mount",Bryan Canady,male,0,5,0,heavy,2017,2019,https://boxrec.com/en/proboxer/805972,805972
