,name,wins,draws,losses,location,division,average_weight,average_opponent_weight,opp_points,bouts_fought,win by knockout,win by split decision,win by technical knockout,win by unanimous decision,sex,total_points
0,Roberto Salas,5.0,0.0,0.0,USA,cruiser,199.6,206.8,0.0,5.0,2.0,0.0,2.0,1.0,male,50.0
1,James Jackson,4.0,1.0,0.0,USA,heavy,231.75,266.4,3.0,5.0,1.0,0.0,1.0,2.0,male,48.0
2,Alex Love,3.0,0.0,0.0,USA,bantam,116.75,118.0,0.0,3.0,1.0,0.0,1.0,1.0,female,30.0
3,Juan Centeno,4.0,1.0,3.0,USA,fly,115.35,112.95,1.875,8.0,1.0,1.0,0.0,1.0,male,22.30357142857143
4,Jordan Weeks,2.0,0.0,0.0,USA,super middle,164.75,162.25,7.5,2.0,0.0,1.0,0.0,1.0,male,27.5
5,Andrew Whitfield,2.0,0.0,1.0,USA,middle,162.58333333333334,156.625,0.0,3.0,0.0,0.0,2.0,0.0,male,10.0
6,Roddricus Livsey,4.0,0.0,0.0,USA,super light,140.6875,141.1875,0.0,4.0,0.0,0.0,3.0,1.0,male,40.0
7,Vern Earwood,3.0,0.0,0.0,USA,heavy,260.4166666666667,289.0,0.0,3.0,1.0,0.0,2.0,0.0,male,30.0
8,Damon Towns,2.0,0.0,0.0,USA,welter,149.0,147.0,0.0,2.0,1.0,0.0,1.0,0.0,male,20.0
9,Mariah Prussia,2.0,0.0,0.0,USA,light,135.5,132.5,0.0,2.0,0.0,0.0,0.0,0.0,female,20.0
10,Shawn Gates,1.0,0.0,0.0,USA,heavy,303.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
11,Shane Fitcher,1.0,0.0,0.0,USA,super middle,,,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
12,John Hunt,1.0,1.0,1.0,USA,super welter,148.66666666666666,148.25,0.0,3.0,0.0,0.0,1.0,0.0,male,5.0
13,Lupe Jimenez,1.0,1.0,3.0,USA,super light,133.4,132.45,0.0,5.0,1.0,0.0,0.0,0.0,male,-15.0
14,Terence Reed,2.0,0.0,1.0,USA,welter,148.41666666666666,150.75,5.0,3.0,0.0,0.0,1.0,1.0,male,15.0
15,Matt Gavers,1.0,1.0,4.0,USA,super light,140.54166666666666,140.33333333333334,2.5,6.0,0.0,0.0,0.0,1.0,male,-22.5
16,Josh Huber,1.0,0.0,0.0,USA,light,,,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
17,Cory Galloway,1.0,0.0,0.0,USA,light,,,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
18,Steele McCall,1.0,0.0,0.0,USA,super middle,,,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
19,David Alfaro,1.0,0.0,3.0,USA,super bantam,119.0,120.4375,3.75,4.0,0.0,0.0,0.0,1.0,male,-16.25
20,Ryan Edwards,1.0,0.0,1.0,USA,heavy,252.5,229.0,0.0,2.0,0.0,0.0,0.0,1.0,male,0.0
21,Edward Torres,1.0,0.0,2.0,USA,welter,140.5,141.41666666666666,5.0,3.0,0.0,1.0,0.0,0.0,male,-5.0
22,Ashley Deen,1.0,0.0,0.0,USA,feather,126.0,125.0,0.0,1.0,0.0,1.0,0.0,0.0,female,10.0
23,Ernest Knight,0.0,0.0,4.0,USA,welter,136.25,136.0625,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
24,Jarvis Ervin,0.0,0.0,5.0,USA,cruiser,173.55,172.55,0.0,5.0,0.0,0.0,0.0,0.0,male,-50.0
25,Allen Campoy Ruiz,0.0,0.0,2.0,USA,heavy,230.25,201.75,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
26,Malik Witherspoon,0.0,0.0,2.0,USA,super welter,158.5,157.25,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
27,Harold Jackson,0.0,0.0,2.0,USA,welter,146.0,142.0,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
28,Adonis Grant,0.0,0.0,1.0,USA,middle,155.5,154.25,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
29,Keegan Blanco,0.0,0.0,1.0,USA,light,,,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
30,Scott Ingram,0.0,0.0,1.0,USA,light,,,15.0,1.0,0.0,0.0,0.0,0.0,male,5.0
31,Heather Denny,0.0,0.0,1.0,USA,feather,125.0,126.0,0.0,1.0,0.0,0.0,0.0,0.0,female,-10.0
32,Eddie Sisneros,0.0,0.0,1.0,USA,heavy,376.0,262.0,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
33,Sammy Katz,0.0,0.0,1.0,USA,super feather,,,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
34,Damion Gaskin,0.0,0.0,2.0,USA,welter,144.0,144.5,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
35,Alex Rivera,0.0,0.0,1.0,USA,light,134.0,134.5,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
36,Frankie Filippone,26.0,1.0,8.0,"USA, Virginia, Norfolk",light heavy,168.05714285714285,169.21212121212122,13.714285714285714,35.0,2.0,0.0,7.0,16.0,male,204.53007518796994
37,Nicholas Sullivan,2.0,0.0,0.0,"USA, Virginia, Norfolk",unknown,133.25,133.625,0.0,2.0,1.0,0.0,0.0,1.0,male,20.0
38,Jerry Forrest,26.0,0.0,3.0,"USA, Virginia, Newport News",heavy,230.35714285714286,231.0462962962963,18.620689655172413,29.0,8.0,0.0,10.0,5.0,male,289.048842147841
39,Jeremiah Wiggins,10.0,1.0,7.0,"USA, Virginia, Newport News",super welter,155.68055555555554,155.3235294117647,9.166666666666666,18.0,3.0,0.0,2.0,4.0,male,44.166666666666664
40,Anthony Overby,0.0,0.0,11.0,"USA, Virginia, Newport News",super welter,151.15384615384616,150.71153846153845,6.818181818181818,11.0,0.0,0.0,0.0,0.0,male,-103.18181818181819
41,Leon Gittens,2.0,0.0,0.0,"USA, Virginia, Hampton",light heavy,172.0,171.0,7.5,2.0,0.0,0.0,1.0,1.0,male,27.5
42,Reggie Barnett Jr,6.0,0.0,2.0,"USA, Virginia, Chesapeake",super feather,130.375,131.15625,7.5,8.0,1.0,0.0,1.0,2.0,male,83.26623376623377
43,Keith Robertson,7.0,1.0,0.0,"USA, Virginia, Chesapeake",cruiser,193.875,193.71428571428572,3.75,8.0,0.0,0.0,4.0,3.0,male,78.75
44,Michaele Nogue,1.0,0.0,1.0,"USA, Virginia, Chesapeake",super light,138.875,140.625,0.0,2.0,0.0,0.0,0.0,1.0,female,0.0
