iter	Passed	Remaining
0	312	93461
1	484	72119
2	767	76025
3	1012	74894
4	1187	70073
5	1393	68271
6	1530	64076
7	1710	62427
8	1958	63317
9	2179	63216
10	2458	64581
11	2677	64271
12	2907	64193
13	3119	63726
14	3445	65462
15	3626	64364
16	3894	64833
17	4054	63525
18	4212	62298
19	4367	61144
20	4565	60657
21	4704	59447
22	4864	58580
23	5098	58633
24	5469	60169
25	5680	59861
26	5931	59972
27	6083	59097
28	6325	59113
29	6442	57981
30	6572	57029
31	6746	56505
32	7007	56695
33	7144	55892
34	7351	55664
35	7496	54975
36	7640	54311
37	7815	53883
38	7954	53233
39	8071	52465
40	8207	51847
41	8384	51503
42	8549	51098
43	8702	50630
44	8933	50620
45	9097	50232
46	9259	49841
47	9398	49341
48	9538	48859
49	9656	48280
50	9805	47875
51	9929	47355
52	10060	46885
53	10233	46617
54	10392	46293
55	10589	46137
56	10763	45887
57	10909	45516
58	11022	45025
59	11158	44632
60	11295	44255
61	11434	43894
62	11554	43468
63	11686	43095
64	11817	42725
65	11969	42438
66	12131	42189
67	12311	42002
68	12456	41702
69	12609	41430
70	12747	41114
71	12878	40783
72	12999	40421
73	13145	40147
74	13284	39852
75	13420	39554
76	13537	39206
77	13673	38915
78	13809	38631
79	13969	38416
80	14149	38257
81	14356	38166
82	14546	38032
83	14654	37683
84	14784	37395
85	14914	37113
86	15024	36785
87	15153	36506
88	15311	36299
89	15437	36021
90	15600	35829
91	15749	35608
92	15927	35450
93	16072	35222
94	16253	35072
95	16405	34861
96	16587	34713
97	16756	34538
98	16917	34346
99	17067	34135
100	17235	33958
101	17392	33762
102	17597	33657
103	17791	33530
104	17952	33339
105	18117	33159
106	18270	32955
107	18429	32762
108	18583	32563
109	18714	32325
110	18833	32067
111	18979	31857
112	19111	31626
113	19285	31465
114	19424	31247
115	19576	31052
116	19737	30871
117	19899	30692
118	20059	30510
119	20252	30378
120	20410	30193
121	20580	30027
122	20736	29840
123	20879	29635
124	21016	29423
125	21183	29253
126	21327	29052
127	21475	28857
128	21623	28664
129	21803	28511
130	21977	28352
131	22156	28198
132	22331	28039
133	22481	27849
134	22630	27660
135	22790	27482
136	22930	27282
137	23066	27078
138	23226	26902
139	23361	26699
140	23518	26520
141	23678	26346
142	23827	26160
143	23981	25980
144	24137	25802
145	24300	25631
146	24420	25417
147	24549	25213
148	24668	24999
149	24811	24811
150	25019	24688
151	25167	24504
152	25313	24321
153	25457	24135
154	25617	23964
155	25769	23787
156	25915	23604
157	26063	23424
158	26215	23247
159	26323	23032
160	26457	22841
161	26576	22639
162	26711	22450
163	26827	22247
164	26956	22055
165	27075	21856
166	27242	21696
167	27389	21520
168	27551	21356
169	27700	21182
170	27844	21005
171	27966	20812
172	28116	20640
173	28240	20449
174	28352	20251
175	28468	20057
176	28657	19914
177	28794	19735
178	28931	19556
179	29065	19376
180	29237	19222
181	29380	19049
182	29539	18885
183	29674	18707
184	29857	18559
185	29978	18374
186	30123	18202
187	30240	18015
188	30367	17834
189	30484	17648
190	30612	17469
191	30716	17278
192	30842	17099
193	30980	16927
194	31215	16808
195	31516	16723
196	31686	16566
197	31873	16419
198	31999	16240
199	32139	16069
200	32256	15887
201	32386	15712
202	32505	15532
203	32635	15357
204	32756	15179
205	32897	15011
206	33043	14845
207	33206	14687
208	33354	14522
209	33508	14360
210	33653	14195
211	33800	14030
212	33922	13855
213	34064	13689
214	34200	13521
215	34333	13352
216	34451	13177
217	34578	13006
218	34696	12832
219	34853	12674
220	35015	12516
221	35224	12376
222	35373	12214
223	35529	12054
224	35679	11893
225	35841	11735
226	35980	11570
227	36140	11412
228	36285	11249
229	36454	11094
230	36597	10931
231	36760	10774
232	36918	10616
233	37100	10464
234	37259	10305
235	37460	10158
236	37592	9993
237	37737	9830
238	37904	9674
239	38073	9518
240	38223	9357
241	38373	9197
242	38520	9035
243	38697	8881
244	38866	8725
245	39045	8570
246	39198	8411
247	39354	8251
248	39479	8086
249	39615	7923
250	39763	7762
251	39894	7598
252	40014	7433
253	40176	7276
254	40298	7111
255	40438	6950
256	40591	6791
257	40745	6633
258	40905	6475
259	41074	6319
260	41219	6159
261	41353	5997
262	41470	5834
263	41600	5672
264	41721	5510
265	41852	5349
266	41952	5185
267	42097	5026
268	42228	4866
269	42386	4709
270	42541	4552
271	42702	4395
272	42850	4237
273	43011	4081
274	43139	3921
275	43272	3762
276	43389	3602
277	43516	3443
278	43633	3284
279	43763	3125
280	43883	2967
281	44029	2810
282	44177	2653
283	44333	2497
284	44477	2340
285	44624	2184
286	44773	2028
287	44935	1872
288	45071	1715
289	45204	1558
290	45321	1401
291	45451	1245
292	45568	1088
293	45700	932
294	45818	776
295	45948	620
296	46113	465
297	46283	310
298	46408	155
299	46563	0
